Parent,Hours,Type,top_earner
Father,6.88,Childcare,Father
Mother,9.72,Childcare,Father
Father,1.37,Housework,Father
Mother,3.12,Housework,Father
Father,7.07,Paid work,Father
Mother,4.23,Paid work,Father
Father,4.99,Uninterrupted paid work,Father
Mother,2.13,Uninterrupted paid work,Father
Father,7.67,Childcare,Mother
Mother,9.35,Childcare,Mother
Father,2.47,Housework,Mother
Mother,2.63,Housework,Mother
Father,6.07,Paid work,Mother
Mother,6.45,Paid work,Mother
Father,4,Uninterrupted paid work,Mother
Mother,3.33,Uninterrupted paid work,Mother
